,text
151,"World's largest plane destroyed in Ukraine 

https://t.co/6gFJ9HviJ0 via @CNNTravel #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
152,"RT @OWLSI1: @ByGeorgiaFort #GeorgeFloyd 
I feel so weird inside...
HOORAY😍😭 and 💔🤮.
#BLM #justice #Equality 
#BLACKlivesMATTER https://t.co…"
153,"I miss my dog... 

I do this so no other person has to send their pup away 

#Saitamawolfpack #Impactxp #LuckyRooToken #pitbull #dog #doge #BlackLivesMatter #BlackTwitter #black #BlackShinesBrightest #BLACKPINK https://t.co/Rqo6L6S8iv"
154,"RT @OWLSI1: @ACLU #GeorgeFloyd 
I feel so weird inside...
HOORAY😍😭 and 💔🤮.
#BLM #justice #Equality 
#BLACKlivesMATTER https://t.co/tlJZDKPt…"
155,RT @hollerbach: The approach of the Detroit Police Department to this spontaneous almost entirely white demonstration for Ukraine that is b…
156,Africans/ Black's are being blocked from leaving the Ukraine. WHAT'S THE REASON THIS ISN'T THE 60's or 70's we not just going sit her this is going to spread we won't  be silenced #AfricansinUkraine  #BlackLivesMatter
157,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
158,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
159,"Ukrainian troops fight to hold Kyiv, but mayor warns city is surrounded by Russian forces 

https://t.co/0Gsxx8oiMZ #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
160,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
161,"RT @Amaka_Ekwo: I’m not surprised.
She is a Black.
Is that not racism?

Someone told me that the people of Ukrainian don’t like Black peopl…"
162,"Volodymyr Zelensky's praise for Mail, saying world knows 'the truth' 

https://t.co/38iG7a0Qal v #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
163,RT @PrentonTommy: Here are some facts that expose your #BlackLivesMatter sham https://t.co/OAliNHw1Oa
164,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
165,"At UN top court, Kyiv accuses Moscow of ‘planning genocide’ 

https://t.co/ZZKoNQ9mtT #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
166,RT @thetalentguru: .@Channel24 #PresidentsAward #BLM #BLM #BlackLivesMatter #BlackExcellence #BlackHistoryMonth #BlackGirlMagic #RacialJust…
167,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
168,"RT @Arapkemeikimu: Who will be  next 2ND INCOMING GOVERNOR KERICHO COUNTY 2022
Retweet for 
@Erick mutai
 
Like for @ketercharles 
#FormNiK…"
169,RT @BotDefund: Defund the Annville Police #BlackLivesMatter #DefundThePolice
170,RT @ItsTrinaFasho: Happy birthday bro! #siblinglove #BlackLivesMatter #BlackHistoryMonth #blackmen #birthday https://t.co/IE3zYL4uHq
171,RT @laire: Of course Biden announces Judge Ketanji Brown Jackson as #SCOTUS nominee a day after the U.S dropped bombs on Somalia… he knows…
172,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…"
173,"RT @Arapkemeikimu: Who will be  next 2ND INCOMING GOVERNOR KERICHO COUNTY 2022
Retweet for 
@Erick mutai
 
Like for @ketercharles 
#FormNiK…"
174,"RT @Arapkemeikimu: Who will be  next 2ND INCOMING GOVERNOR KERICHO COUNTY 2022
Retweet for 
@Erick mutai
 
Like for @ketercharles 
#FormNiK…"
175,RT @thetalentguru: .@Channel24 #PresidentsAward #BLM #BLM #BlackLivesMatter #BlackExcellence #BlackHistoryMonth #BlackGirlMagic #RacialJust…
176,RT @PrentonTommy: Here are some facts that expose your #BlackLivesMatter sham https://t.co/OAliNHw1Oa
177,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
178,RT @hollerbach: The approach of the Detroit Police Department to this spontaneous almost entirely white demonstration for Ukraine that is b…
